m,n,k,distribution,Intra,Inter,Borda,Copeland,Sum,"Approval (t=0.1, penalty=1)","Approval (t=0.1, penalty=0)","Approval (t=0.3, penalty=1)","Approval (t=0.3, penalty=0)","Approval (t=0.5, penalty=1)","Approval (t=0.5, penalty=0)","Approval (t=0.7, penalty=1)","Approval (t=0.7, penalty=0)","Approval (t=0.9, penalty=1)","Approval (t=0.9, penalty=0)"
8,10,5,normal,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
8,10,5,normal,0.0,0.05,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.10967142857142989,0.03182499999999919,0.4985875,0.00305,0.5,0.0,0.5,0.0,0.5,0.0
8,10,5,normal,0.0,0.1,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.17524642857143707,0.03543928571428612,0.19055714285712916,0.026271428571427873,0.45497857142857256,0.030192857142857157,0.5,0.0,0.5,0.0
8,10,5,normal,0.0,0.15,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.23203749999999745,0.03710357142857149,0.11018214285714448,0.032085714285713454,0.2272803571428497,0.02892499999999946,0.4145250000000029,0.03930357142857153,0.498425,0.003275
8,10,5,normal,0.0,0.2,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.25903750000001813,0.020692857142856718,0.1237857142857197,0.03874642857142718,0.13775892857143388,0.02309285714285658,0.24888571428571696,0.03155357142857118,0.39200178571429056,0.041800000000000156
8,10,5,normal,0.0,0.25,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.2793714285714573,0.019796428571428444,0.14673035714286242,0.039078571428570734,0.11114642857143008,0.03219285714285623,0.16933035714285283,0.0264249999999992,0.263246428571439,0.033146428571428556
8,10,5,normal,0.0,0.3,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.3130267857143123,0.028200000000000284,0.1747392857142949,0.035078571428571785,0.10874642857143135,0.03269285714285655,0.12750535714286235,0.024642857142856713,0.19016428571427277,0.026617857142856395
8,10,5,normal,0.05,0.0,0.09564285714285911,0.1045500000000019,0.046585714285713876,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
8,10,5,normal,0.05,0.05,4.642857142868236e-05,4.642857142868236e-05,1.4285714285825279e-05,0.11314464285714464,0.032317857142856274,0.49826785714285715,0.003067857142857143,0.5,0.0,0.5,0.0,0.5,0.0
8,10,5,normal,0.05,0.1,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.17708392857143737,0.03628571428571484,0.1902392857142722,0.026864285714285,0.45366785714285796,0.0302107142857143,0.5,0.0,0.5,0.0
8,10,5,normal,0.05,0.15,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.23241607142856843,0.037507142857143086,0.11128214285714412,0.0326892857142847,0.22765535714285057,0.028182142857142288,0.41595535714285925,0.03897142857142864,0.498475,0.00285
8,10,5,normal,0.05,0.2,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.25919821428573253,0.021199999999999553,0.12340000000000557,0.038389285714284384,0.1388035714285765,0.024157142857142256,0.24906428571429032,0.030889285714285397,0.3924803571428627,0.04141428571428583
8,10,5,normal,0.05,0.25,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.27898214285717116,0.02007499999999989,0.14654464285714786,0.03898571428571358,0.11045714285714398,0.03221071428571344,0.16873571428570971,0.025471428571427764,0.2625500000000083,0.03341428571428568
8,10,5,normal,0.05,0.3,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.31280357142859755,0.02633928571428594,0.17569642857143802,0.03530714285714325,0.1077017857142886,0.031485714285713895,0.12683928571429082,0.024099999999999594,0.19092321428570136,0.02634642857142779
8,10,5,normal,0.1,0.0,0.09133928571428772,0.10136428571428803,0.04532499999999965,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
